,audio_annotation_file,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments,Unnamed: 11,Unnamed: 1,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,fm2_start_time,fm2_end_time,fm2_dbrms
225,matching_annotaudio_Aditya_2018-08-17_45_118,0.94,11.5432,R,40.0,9.892000000000001,9.908999999999999,27.11,10.062999999999999,10.076,,,,,,,,,,,,,
226,matching_annotaudio_Aditya_2018-08-17_45_119,0.92,6.6976,L,60.0,2.037,2.057,28.63,1.8780000000000001,1.881,,,,,,,,,,,,,
228,matching_annotaudio_Aditya_2018-08-17_45_122,0.48,0.2112,R,40.0,0.19699999999999998,0.217,26.15,0.09699999999999999,0.111,Silent period taken from 45_104,,,,,,,,,,,,
230,matching_annotaudio_Aditya_2018-08-17_45_124,0.14,0.11199999999999999,L,50.0,0.162,0.193,20.09,0.204,0.221,,,,,,,,,,,,,
234,matching_annotaudio_Aditya_2018-08-17_45_135,0.96,3.5328,R,55.0,0.142,0.16,34.85,0.473,0.486,There are echoes at the start of the call. But the call is very loud.,,,,,,,,,,,,
236,matching_annotaudio_Aditya_2018-08-17_45_162,0.52,2.184,L,70.0,0.228,0.251,24.13,0.20800000000000002,0.223,,,,,,,,,,,,,
237,matching_annotaudio_Aditya_2018-08-17_45_164,0.02,0.1256,L,50.0,3.262,3.28,23.57,3.2969999999999997,3.3080000000000003,,,,,,,,,,,,,
239,matching_annotaudio_Aditya_2018-08-17_45_173,0.66,1.1352,R,55.0,1.159,1.177,21.84,1.186,1.197,,,,,,,,,,,,,
240,matching_annotaudio_Aditya_2018-08-17_45_174,0.12,0.8544,L,55.0,0.16399999999999998,0.185,34.79,0.14800000000000002,0.161,,,,,,,,,,,,,
244,matching_annotaudio_Aditya_2018-08-17_45_189,0.66,1.5576,R,70.0,0.10400000000000001,0.13,22.28,0.13699999999999998,0.146,,,,,,,,,,,,,
245,matching_annotaudio_Aditya_2018-08-17_45_203,1.0,12.92,L,50.0,0.263,0.29600000000000004,32.28,0.33,0.341,,,,,,,,,,,,,
248,matching_annotaudio_Aditya_2018-08-17_45_211,0.28,0.5488,L,60.0,0.114,0.145,24.34,0.188,0.203,,,,,,,,,,,,,
249,matching_annotaudio_Aditya_2018-08-17_45_231,0.5,0.28,L,40.0,0.105,0.122,20.36,0.336,0.341,The Fm part is very faint. Looks as if there is a point with interference in the FM part,,,,,,,,,,,,
254,matching_annotaudio_Aditya_2018-08-17_45_267,0.29,0.3712,R,60.0,1.151,1.17,27.42,1.139,1.1440000000000001,,,,,,,,,,,,,
255,matching_annotaudio_Aditya_2018-08-17_45_269,0.56,0.2688,L,70.0,0.257,0.28300000000000003,32.04,0.341,0.34600000000000003,,,,,,,,,,,,,
259,matching_annotaudio_Aditya_2018-08-17_45_303,0.87,0.4176,L,40.0,0.298,0.327,20.0,0.35600000000000004,0.386,,,,,,,,,,,,,
263,matching_annotaudio_Aditya_2018-08-17_45_321,0.68,0.21828000000000003,L,70.0,0.042,0.065,20.69,0.162,0.168,,,,,,,,,,,,,
264,matching_annotaudio_Aditya_2018-08-17_45_322,0.05,0.018000000000000002,R,80.0,0.162,0.193,27.3,0.322,0.324,,,,,,,,,,,,,
265,matching_annotaudio_Aditya_2018-08-17_45_326,0.81,0.6804,L,50.0,0.29100000000000004,0.319,29.22,0.32899999999999996,0.33399999999999996,,,,,,,,,,,,,
266,matching_annotaudio_Aditya_2018-08-17_45_337,0.25,0.11,L,55.0,0.083,0.107,20.73,0.317,0.32,There are very faint remaining parts of FM call.,,,,,,,,,,,,
267,matching_annotaudio_Aditya_2018-08-17_45_339,0.84,1.9488,R,70.0,1.954,1.983,26.85,2.02,2.033,,,,,,,,,,,,,
268,matching_annotaudio_Aditya_2018-08-17_45_340,0.56,1.0528,R,55.0,1.202,1.2209999999999999,31.53,1.015,1.026,,,,,,,,,,,,,
269,matching_annotaudio_Aditya_2018-08-17_45_341,0.3,0.444,L,45.0,0.28600000000000003,0.313,20.45,0.263,0.278,,,,,,,,,,,,,
270,matching_annotaudio_Aditya_2018-08-17_45_342,0.32,0.2816,R,55.0,0.294,0.315,44.42,0.27399999999999997,0.284,,,,,,,,,,,,,
271,matching_annotaudio_Aditya_2018-08-17_45_348,0.27,0.6912,R,80.0,1.8130000000000002,1.8319999999999999,21.85,1.87,1.881,There are very faint remaining parts of FM call.,,,,,,,,,,,,
272,matching_annotaudio_Aditya_2018-08-19_23_2,0.54,0.3024,R,70.0,0.32799999999999996,0.35100000000000003,30.02,0.313,0.32299999999999995,,,,,,,,,,,,,
273,matching_annotaudio_Aditya_2018-08-19_23_5,0.36,0.1008,L,70.0,0.17800000000000002,0.196,33.31,0.075,0.09300000000000001,Silent interval taken from matching_annotaudio_Aditya_2018-08-19_23_2,,,,,,,,,,,,
275,matching_annotaudio_Aditya_2018-08-19_23_12,0.78,0.8424,L,70.0,0.774,0.7909999999999999,31.2,0.584,0.597,,,,,,,,,,,,,
276,matching_annotaudio_Aditya_2018-08-19_23_14,0.44,0.3344,R,45.0,0.294,0.312,39.29,0.386,0.392,,,,,,,,,,,,,
278,matching_annotaudio_Aditya_2018-08-19_23_16,0.7,0.336,R,60.0,0.341,0.361,36.07,0.371,0.386,,,,,,,,,,,,,
279,matching_annotaudio_Aditya_2018-08-19_23_17,0.98,1.0192,R,65.0,0.27399999999999997,0.29,20.71,0.264,0.27,,,,,,,,,,,,,
280,matching_annotaudio_Aditya_2018-08-19_23_18,0.13,0.1612,R,80.0,0.414,0.433,26.95,0.39899999999999997,0.41100000000000003,,,,,,,,,,,,,
281,matching_annotaudio_Aditya_2018-08-19_23_19,0.39,0.46799999999999997,L,40.0,0.426,0.44299999999999995,31.97,0.45,0.457,,,,,,,,,,,,,
286,matching_annotaudio_Aditya_2018-08-19_23_37,0.16,0.9664,R,50.0,1.686,1.716,25.26,1.676,1.6840000000000002,,,,,,,,,,,,,
288,matching_annotaudio_Aditya_2018-08-19_23_39,0.71,0.3692,R,65.0,0.42,0.455,30.07,0.469,0.478,There is a faint echo of another call. ,,,,,,,,,,,,
289,matching_annotaudio_Aditya_2018-08-19_23_40,0.8,0.44799999999999995,L,70.0,0.387,0.405,26.49,0.371,0.391,,,,,,,,,,,,,
290,matching_annotaudio_Aditya_2018-08-17_56_6,27.0,1.1772,R,70.0,3.109,3.1319999999999997,27.45,3.477,3.492,,,,,,,,,,,,,
291,matching_annotaudio_Aditya_2018-08-17_56_9,57.0,1.0488,L,60.0,0.563,0.606,22.68,0.5529999999999999,0.562,,,,,,,,,,,,,
292,matching_annotaudio_Aditya_2018-08-17_56_11,59.0,0.6136,R,65.0,0.778,0.8079999999999999,22.75,1.01,1.026,,,,,,,,,,,,,
296,matching_annotaudio_Aditya_2018-08-17_56_27,34.0,0.6392,L,60.0,0.085,0.10800000000000001,29.11,0.222,0.24,,,,,,,,,,,,,
299,matching_annotaudio_Aditya_2018-08-17_56_58,1.0,0.0028,L,70.0,0.091,0.10800000000000001,33.07,0.191,0.19899999999999998,Silent interval taken from Annotation_38. Not very confident. There are echoes before the call starts,,,,,,,,,,,,
300,matching_annotaudio_Aditya_2018-08-17_56_59,55.0,0.99,R,55.0,1.401,1.423,26.09,0.48,0.489,,,,,,,,,,,,,
302,matching_annotaudio_Aditya_2018-08-17_56_91,74.0,1.7464,L,40.0,1.462,1.484,28.52,1.909,1.919,,,,,,,,,,,,,
303,matching_annotaudio_Aditya_2018-08-17_56_102,66.0,0.8448,R,60.0,0.47200000000000003,0.491,21.93,0.506,0.513,,,,,,,,,,,,,
304,matching_annotaudio_Aditya_2018-08-17_56_109,10.0,0.076,R,50.0,0.051,0.073,24.93,0.031,0.042,,,,,,,,,,,,,
305,matching_annotaudio_Aditya_2018-08-17_56_143,11.0,0.044000000000000004,R,50.0,0.054000000000000006,0.077,22.52,0.03,0.047,,,,,,,,,,,,,
306,matching_annotaudio_Aditya_2018-08-17_23_14,0.63,0.9324,R,45.0,0.163,0.184,21.62,0.287,0.305,There are faint myotis calls also,,,,,,,,,,,,
307,matching_annotaudio_Aditya_2018-08-17_23_56,0.28,0.3696,L,70.0,0.04,0.07200000000000001,23.87,0.226,0.23600000000000002,,,,,,,,,,,,,
308,matching_annotaudio_Aditya_2018-08-17_23_65,0.61,0.1708,R,70.0,0.19399999999999998,0.217,28.64,0.158,0.168,There are echoes just before the FM starts. Overlaps a little. ,,,,,,,,,,,,
311,matching_annotaudio_Aditya_2018-08-17_23_137,0.93,2.4552,R,45.0,1.274,1.2890000000000001,21.28,1.379,1.385,,,,,,,,,,,,,
312,matching_annotaudio_Aditya_2018-08-17_23_141,0.14,0.0112,R,40.0,0.008,0.028999999999999998,35.76,0.067,0.077,Not very sure. There are faint echoes and interference at a point within the call,,,,,,,,,,,,
313,matching_annotaudio_Aditya_2018-08-17_23_157,0.57,1.254,L,70.0,0.33799999999999997,0.36200000000000004,22.69,0.314,0.327,,,,,,,,,,,,,
315,matching_annotaudio_Aditya_2018-08-17_23_172,0.82,2.9192,L,60.0,2.7460000000000004,2.7110000000000003,27.79,3.51,3.517,,,,,,,,,,,,,
317,matching_annotaudio_Aditya_2018-08-17_23_196,0.58,0.6496,L,60.0,0.8190000000000001,0.841,27.85,0.9259999999999999,0.94,,,,,,,,,,,,,
320,matching_annotaudio_Aditya_2018-08-17_23_115,0.52,0.6032,R,45.0,0.469,0.48700000000000004,20.24,0.166,0.177,,,,,,,,,,,,,
321,matching_annotaudio_Aditya_2018-08-17_23_173,0.17,0.6459999999999999,R,60.0,2.633,2.654,25.49,2.986,2.9219999999999997,,,,,,,,,,,,,
323,matching_annotaudio_Aditya_2018-08-17_23_70,0.45,0.09,L,55.0,0.17800000000000002,0.196,33.05,0.513,0.535,Silent interval taken from Annotation 23_81. There are echoes before the calls start. Not very confident,,,,,,,,,,,,
325,matching_annotaudio_Aditya_2018-08-17_23_2,0.31,0.3224,L,65.0,0.307,0.32799999999999996,30.7,0.293,0.307,,,,,,,,,,,,,
328,matching_annotaudio_Aditya_2018-08-17_23_14,0.63,0.9324,R,45.0,0.163,0.184,21.62,0.287,0.305,There are faint myotis calls also,,,,,,,,,,,,
329,matching_annotaudio_Aditya_2018-08-17_23_15,0.51,0.1836,R,50.0,0.23800000000000002,0.261,23.64,0.225,0.233,,,,,,,,,,,,,
330,matching_annotaudio_Aditya_2018-08-17_23_26,0.93,2.3436,L,40.0,2.275,2.2969999999999997,24.4,2.251,2.27,,,,,,,,,,,,,
331,matching_annotaudio_Aditya_2018-08-17_23_28,0.9,1.26,L,45.0,1.022,1.041,25.86,1.052,1.063,There are faint echoes before the start of the call,,,,,,,,,,,,
332,matching_annotaudio_Aditya_2018-08-17_23_30,0.18,0.1008,L,60.0,0.028999999999999998,0.052000000000000005,37.59,0.315,0.324,,,,,,,,,,,,,
333,matching_annotaudio_Aditya_2018-08-17_23_37,0.42,0.42,R,60.0,0.526,0.544,20.9,0.513,0.524,The Fm is faint and there seems to be interference at one point,,,,,,,,,,,,
337,matching_annotaudio_Aditya_2018-08-17_23_43,0.94,1.6544,L,55.0,1.287,1.304,21.39,1.2790000000000001,1.286,,,,,,,,,,,,,
338,matching_annotaudio_Aditya_2018-08-17_23_45,0.65,1.534,R,70.0,2.096,2.123,29.11,2.085,2.095,,,,,,,,,,,,,
339,matching_annotaudio_Aditya_2018-08-17_23_53,0.73,1.0804,R,45.0,0.121,0.14,27.9,0.109,0.11900000000000001,There seem to be some overlap of calls towards the end. Don�t know whether it�s a different bat,,,,,,,,,,,,
340,matching_annotaudio_Aditya_2018-08-17_23_56,0.28,0.3696,L,70.0,0.04,0.07200000000000001,0.226,0.23600000000000002,23.87,,,,,,,,,,,,,
342,matching_annotaudio_Aditya_2018-08-17_23_65,0.61,0.1708,R,70.0,0.19399999999999998,0.217,28.64,0.158,0.168,There are echoes just before the FM starts. Overlaps a little. ,,,,,,,,,,,,
344,matching_annotaudio_Aditya_2018-08-17_23_67,0.72,1.0944,R,50.0,0.912,0.9329999999999999,29.04,0.743,0.7490000000000001,,,,,,,,,,,,,
347,matching_annotaudio_Aditya_2018-08-17_23_70,0.45,0.09,L,55.0,0.17800000000000002,0.196,33.05,0.513,0.535,Silent interval taken from Annotation 23_81. There are echoes before the calls start. Not very confident,,,,,,,,,,,,
350,matching_annotaudio_Aditya_2018-08-17_23_75,0.62,3.2984,L,45.0,2.378,2.397,34.19,2.235,2.2430000000000003,,,,,,,,,,,,,
352,matching_annotaudio_Aditya_2018-08-17_23_81,0.52,0.6032,R,70.0,0.42700000000000005,0.447,29.56,0.415,0.425,,,,,,,,,,,,,
353,matching_annotaudio_Aditya_2018-08-17_23_82,0.86,1.2728,R,45.0,0.445,0.46799999999999997,26.31,0.429,0.442,,,,,,,,,,,,,
354,matching_annotaudio_Aditya_2018-08-17_23_84,0.48,0.6528,L,45.0,0.478,0.499,20.21,0.47,0.47700000000000004,,,,,,,,,,,,,
355,matching_annotaudio_Aditya_2018-08-17_23_91,0.11,0.3256,R,50.0,0.35600000000000004,0.374,21.62,0.387,0.402,,,,,,,,,,,,,
356,matching_annotaudio_Aditya_2018-08-17_23_92,0.91,1.3468,R,45.0,0.499,0.521,33.54,0.489,0.494,,,,,,,,,,,,,
359,matching_annotaudio_Aditya_2018-08-17_23_97,0.39,0.3276,L,50.0,0.213,0.23199999999999998,44.87,0.008,0.017,There is overlap in channel 1 recordings. Probably echoes?,,,,,,,,,,,,
361,matching_annotaudio_Aditya_2018-08-17_23_99,0.95,1.14,L,50.0,1.022,1.042,22.81,1.005,1.0190000000000001,,,,,,,,,,,,,
362,matching_annotaudio_Aditya_2018-08-17_23_100,0.01,0.0084,R,50.0,0.14400000000000002,0.163,35.55,0.131,0.142,,,,,,,,,,,,,
365,matching_annotaudio_Aditya_2018-08-17_23_105,0.5,1,L,60.0,0.353,0.379,28.79,0.402,0.41100000000000003,,,,,,,,,,,,,
366,matching_annotaudio_Aditya_2018-08-17_23_109,0.84,2.1168,R,80.0,2.363,2.394,29.09,2.332,2.354,,,,,,,,,,,,,
367,matching_annotaudio_Aditya_2018-08-17_23_110,0.61,0.7076,R,70.0,1.035,1.055,25.32,1.093,1.1,,,,,,,,,,,,,
368,matching_annotaudio_Aditya_2018-08-17_23_111,0.03,0.0192,L,80.0,0.508,0.53,32.4,0.5820000000000001,0.591,,,,,,,,,,,,,
369,matching_annotaudio_Aditya_2018-08-17_23_112,0.74,1.0952,R,45.0,0.746,0.78,22.6,0.728,0.741,,,,,,,,,,,,,
370,matching_annotaudio_Aditya_2018-08-17_23_113,0.05,0.034,L,45.0,0.046,0.07400000000000001,28.15,0.032,0.045,,,,,,,,,,,,,
371,matching_annotaudio_Aditya_2018-08-17_23_115,0.52,0.6032,R,45.0,0.469,0.48700000000000004,20.24,0.166,0.177,,,,,,,,,,,,,
372,matching_annotaudio_Aditya_2018-08-17_23_117,0.66,0.4224,L,40.0,0.32299999999999995,0.34600000000000003,31.22,0.306,0.32,,,,,,,,,,,,,
373,matching_annotaudio_Aditya_2018-08-17_23_133,0.06,0.0432,R,45.0,0.182,0.203,29.48,0.17,0.18100000000000002,,,,,,,,,,,,,
374,matching_annotaudio_Aditya_2018-08-17_23_134,0.1,0.172,L,55.0,1.358,1.379,25.34,1.4580000000000002,1.474,,,,,,,,,,,,,
376,matching_annotaudio_Aditya_2018-08-17_23_137,0.93,2.4552,R,45.0,1.274,1.2890000000000001,21.28,1.379,1.385,,,,,,,,,,,,,
377,matching_annotaudio_Aditya_2018-08-17_23_138,0.33,0.5544,R,55.0,1.254,1.276,29.3,1.2429999999999999,1.253,,,,,,,,,,,,,
378,matching_annotaudio_Aditya_2018-08-17_23_139,0.47,0.7144,L,50.0,0.674,0.691,22.09,1.2819999999999998,1.296,There are echoes after the terminal FM,,,,,,,,,,,,
379,matching_annotaudio_Aditya_2018-08-17_23_141,0.14,0.0112,R,40.0,0.008,0.028999999999999998,35.76,0.067,0.077,Not very sure. There are faint echoes and interference at a point within the call,,,,,,,,,,,,
381,matching_annotaudio_Aditya_2018-08-17_23_143,0.11,0.3036,L,45.0,0.011000000000000001,0.037000000000000005,25.4,0.002,0.009000000000000001,,,,,,,,,,,,,
382,matching_annotaudio_Aditya_2018-08-17_23_145,0.78,0.6864,L,55.0,0.205,0.226,21.21,0.19,0.20199999999999999,,,,,,,,,,,,,
383,matching_annotaudio_Aditya_2018-08-17_23_146,0.14,0.1736,L,40.0,0.45899999999999996,0.48100000000000004,20.75,0.444,0.45399999999999996,The CF echo present above the terminal FM,,,,,,,,,,,,
385,matching_annotaudio_Aditya_2018-08-17_23_155,92.0,1.0304,L,80.0,0.58,0.599,31.32,0.574,0.58,,,,,,,,,,,,,
387,matching_annotaudio_Aditya_2018-08-17_23_157,0.57,1.254,L,70.0,0.33799999999999997,0.36200000000000004,22.69,0.314,0.327,,,,,,,,,,,,,
391,matching_annotaudio_Aditya_2018-08-17_23_168,74.0,0.5032,L,80.0,0.32799999999999996,0.355,21.63,0.371,0.381,,,,,,,,,,,,,
393,matching_annotaudio_Aditya_2018-08-17_23_172,0.82,2.9192,L,60.0,2.7460000000000004,2.7110000000000003,27.79,3.51,3.517,,,,,,,,,,,,,
394,matching_annotaudio_Aditya_2018-08-17_23_173,0.17,0.646,R,60.0,2.633,2.654,25.49,2.986,2.9219999999999997,,,,,,,,,,,,,
395,matching_annotaudio_Aditya_2018-08-17_23_174,84.0,2.9904,R,55.0,2.4819999999999998,2.5069999999999997,21.15,2.467,2.479,,,,,,,,,,,,,
396,matching_annotaudio_Aditya_2018-08-17_23_185,81.0,1.458,R,45.0,1.558,1.579,26.7,1.547,1.555,,,,,,,,,,,,,
397,matching_annotaudio_Aditya_2018-08-17_23_186,87.0,1.8792,R,60.0,0.253,0.28800000000000003,23.63,0.231,0.25,,,,,,,,,,,,,
398,matching_annotaudio_Aditya_2018-08-17_23_187,82.0,2.4272,R,45.0,2.437,2.455,27.69,2.423,2.4330000000000003,,,,,,,,,,,,,
401,matching_annotaudio_Aditya_2018-08-17_23_193,78.0,2.3088,R,45.0,2.3409999999999997,2.359,24.96,2.331,2.34,,,,,,,,,,,,,
402,matching_annotaudio_Aditya_2018-08-17_23_196,0.58,0.6496,L,60.0,0.8190000000000001,0.841,27.85,0.9259999999999999,0.94,,,,,,,,,,,,,
403,matching_annotaudio_Aditya_2018-08-17_56_1,0.31,0.2852,L,55.0,0.087,0.10800000000000001,26.81,0.033,0.047,,,,,,,,,,,,,
405,matching_annotaudio_Aditya_2018-08-17_56_6,27.0,1.1772,R,70.0,3.109,3.1319999999999997,27.45,3.477,3.492,,,,,,,,,,,,,
406,matching_annotaudio_Aditya_2018-08-17_56_7,0.45,0.63,R,45.0,0.645,0.6829999999999999,28.39,0.69,0.698,,,,,,,,,,,,,
407,matching_annotaudio_Aditya_2018-08-17_56_9,57.0,1.0488,L,60.0,0.563,0.606,22.68,0.5529999999999999,0.562,,,,,,,,,,,,,
408,matching_annotaudio_Aditya_2018-08-17_56_11,59.0,0.6136,R,65.0,0.778,0.8079999999999999,22.75,1.01,1.026,,,,,,,,,,,,,
413,matching_annotaudio_Aditya_2018-08-17_56_27,34.0,0.6392,L,60.0,0.085,0.10800000000000001,29.11,0.222,0.24,,,,,,,,,,,,,
415,matching_annotaudio_Aditya_2018-08-17_56_33,0.99,0.6336,L,50.0,0.07,0.086,24.89,0.247,0.254,,,,,,,,,,,,,
417,matching_annotaudio_Aditya_2018-08-17_56_58,1.0,0.0028,L,70.0,0.091,0.10800000000000001,33.07,0.191,0.19899999999999998,Silent interval taken from Annotation_38. Not very confident. There are echoes before the call starts,,,,,,,,,,,,
418,matching_annotaudio_Aditya_2018-08-17_56_59,55.0,0.99,R,55.0,1.401,1.423,26.09,0.48,0.489,,,,,,,,,,,,,
420,matching_annotaudio_Aditya_2018-08-17_56_78,0.65,0.8059999999999999,L,40.0,0.205,0.228,33.52,0.25,0.272,,,,,,,,,,,,,
422,matching_annotaudio_Aditya_2018-08-17_56_90,0.73,0.2628,R,55.0,0.077,0.094,25.25,0.27,0.281,,,,,,,,,,,,,
423,matching_annotaudio_Aditya_2018-08-17_56_91,74.0,1.7464,L,40.0,1.462,1.484,28.52,1.909,1.919,,,,,,,,,,,,,
424,matching_annotaudio_Aditya_2018-08-17_56_96,0.64,0.8704,R,45.0,0.98,1.001,21.32,0.966,0.977,,,,,,,,,,,,,
425,matching_annotaudio_Aditya_2018-08-17_56_102,66.0,0.8448,R,60.0,0.47200000000000003,0.491,21.93,0.506,0.513,,,,,,,,,,,,,
426,matching_annotaudio_Aditya_2018-08-17_56_107,0.08,0.1792,L,70.0,2.1830000000000003,2.206,22.04,2.005,2.017,,,,,,,,,,,,,
427,matching_annotaudio_Aditya_2018-08-17_56_108,0.71,0.9940000000000001,L,45.0,0.972,0.99,21.99,0.996,1.008,,,,,,,,,,,,,
428,matching_annotaudio_Aditya_2018-08-17_56_109,10.0,0.076,R,50.0,0.051,0.073,24.93,0.031,0.042,,,,,,,,,,,,,
430,matching_annotaudio_Aditya_2018-08-17_56_143,11.0,0.044000000000000004,R,50.0,0.054000000000000006,0.077,22.52,0.03,0.047,,,,,,,,,,,,,
431,matching_annotaudio_Aditya_2018-08-17_56_162,0.82,2.8536,L,55.0,0.26899999999999996,0.294,29.75,0.312,0.327,,,,,,,,,,,,,
433,matching_annotaudio_Aditya_2018-08-17_56_176,0.01,0.0068,R,80.0,0.121,0.14400000000000002,35.25,0.157,0.17600000000000002,,,,,,,,,,,,,
435,matching_annotaudio_Aditya_2018-08-17_56_181,0.68,1.5232,L,70.0,0.47200000000000003,0.498,20.82,0.45799999999999996,0.47100000000000003,,,,,,,,,,,,,
436,matching_annotaudio_Aditya_2018-08-17_23_14,0.63,0.9324,R,45.0,0.163,0.184,21.62,0.287,0.305,There are faint myotis calls also,,,,,,,,,,,,
437,matching_annotaudio_Aditya_2018-08-17_23_56,0.28,0.3696,L,70.0,0.04,0.07200000000000001,0.226,0.23600000000000002,23.87,,,,,,,,,,,,,
438,matching_annotaudio_Aditya_2018-08-17_23_65,0.61,0.1708,R,70.0,0.19399999999999998,0.217,28.64,0.158,0.168,There are echoes just before the FM starts. Overlaps a little. ,,,,,,,,,,,,
441,matching_annotaudio_Aditya_2018-08-17_23_137,0.93,2.4552,R,45.0,1.274,1.2890000000000001,21.28,1.379,1.385,,,,,,,,,,,,,
442,matching_annotaudio_Aditya_2018-08-17_23_141,0.14,0.0112,R,40.0,0.008,0.028999999999999998,35.76,0.067,0.077,Not very sure. There are faint echoes and interference at a point within the call,,,,,,,,,,,,
443,matching_annotaudio_Aditya_2018-08-17_23_157,0.57,1.254,L,70.0,0.33799999999999997,0.36200000000000004,22.69,0.314,0.327,,,,,,,,,,,,,
445,matching_annotaudio_Aditya_2018-08-17_23_172,0.82,2.9192,L,60.0,2.7460000000000004,2.7110000000000003,27.79,3.51,3.517,,,,,,,,,,,,,
447,matching_annotaudio_Aditya_2018-08-17_23_196,0.58,0.6496,L,60.0,0.8190000000000001,0.841,27.85,0.9259999999999999,0.94,,,,,,,,,,,,,
450,matching_annotaudio_Aditya_2018-08-17_23_115,0.52,0.6032,R,45.0,0.469,0.48700000000000004,20.24,0.166,0.177,,,,,,,,,,,,,
451,matching_annotaudio_Aditya_2018-08-17_23_173,0.17,0.6459999999999999,R,60.0,2.633,2.654,25.49,2.986,2.9219999999999997,,,,,,,,,,,,,
453,matching_annotaudio_Aditya_2018-08-17_23_70,0.45,0.09,L,55.0,0.17800000000000002,0.196,33.05,0.513,0.535,Silent interval taken from Annotation 23_81. There are echoes before the calls start. Not very confident,,,,,,,,,,,,
455,matching_annotaudio_Aditya_2018-08-17_12_2,0.25,0.51,R,65.0,0.307,0.337,33.93,0.35,0.361,,,,,,,,,,,,,
456,matching_annotaudio_Aditya_2018-08-17_12_4,0.59,3.5164,R,45.0,0.254,0.272,25.61,0.248,0.252,,,,,,,,,,,,,
457,matching_annotaudio_Aditya_2018-08-17_12_8,0.45,0.252,L,70.0,0.161,0.177,27.79,0.105,0.125,,,,,,,,,,,,,
458,matching_annotaudio_Aditya_2018-08-17_12_15,0.41,2.0828,L,70.0,0.251,0.272,25.44,0.235,0.24600000000000002,There are very faint myotis calls also. Not very sure.,,,,,,,,,,,,
459,matching_annotaudio_Aditya_2018-08-17_12_16,0.04,0.0352,L,55.0,0.1,0.124,28.2,0.08900000000000001,0.095,,,,,,,,,,,,,
460,matching_annotaudio_Aditya_2018-08-17_12_21,0.68,1.36,R,55.0,0.7190000000000001,0.769,42.66,0.7,0.713,,,,,,,,,,,,,
461,matching_annotaudio_Aditya_2018-08-17_12_28,0.81,1.1016,R,50.0,0.152,0.17,24.38,0.094,0.107,,,,,,,,,,,,,
462,matching_annotaudio_Aditya_2018-08-17_12_29,0.04,0.0544,R,45.0,0.10800000000000001,0.147,23.43,0.08,0.099,,,,,,,,,,,,,
463,matching_annotaudio_Aditya_2018-08-17_12_33,0.78,0.8736,L,70.0,0.713,0.731,25.95,0.703,0.711,,,,,,,,,,,,,
464,matching_annotaudio_Aditya_2018-08-17_12_44,0.56,0.336,L,50.0,0.138,0.165,26.63,0.125,0.134,,,,,,,,,,,,,
465,matching_annotaudio_Aditya_2018-08-17_12_50,0.3,0.78,L,75.0,0.203,0.22699999999999998,24.99,0.262,0.28800000000000003,,,,,,,,,,,,,
467,matching_annotaudio_Aditya_2018-08-17_12_53,0.48,0.2688,R,70.0,0.159,0.185,38.85,0.14400000000000002,0.15,,,,,,,,,,,,,
